Y (compra/vende),X1=precio,X2=puntos
2,19379.9,95
2,19170.7,94
2,18326.6,95
2,18546,86
2,18247.2,94
2,18023.6,89
2,18808.9,90
2,19176.8,91
2,19273.8,95
2,19434.9,91
2,21352.2,92
2,22825.4,92
2,23127.9,95
2,23844,93
2,23474.9,92
2,22728.5,92
2,23823.2,88
2,23257.9,93
2,23736.5,86
2,24689.6,94
2,26454.4,93
2,26261.3,91
2,27057.8,92
2,27376,91
2,28868.7,91
2,28949.4,95
2,29359.9,94
2,32193.3,94
2,32958.9,93
2,32022.6,94
2,33991.5,93
2,36793.2,95
2,39460.2,91
2,40599.3,93
2,40151.9,93
2,38192.2,94
2,35544.3,90
2,34076.1,84
2,37382.2,78
2,39175.7,83
2,36845.8,88
2,36019.5,84
2,35839.6,79
2,36613.2,79
2,36002.9,80
0,35476.3,78
0,30842.1,75
0,33000.5,40
0,32088.9,74
0,32241.3,70
0,32252.3,74
2,32502.1,71
0,30404,78
2,33374.8,55
2,34301.8,77
2,34283.1,76
2,33108.1,78
2,33515.7,77
2,35485.2,76
2,37646.8,78
2,36982.1,80
2,38297.6,81
2,39256.6,84
2,38852.9,86
2,46395.7,83
2,46508.6,95
2,44836,92
2,47990.7,93
2,47371.7,92
2,47168.7,92
2,48643.4,95
2,47936.3,93
2,49169.7,95
2,52079.2,95
2,51582.2,91
2,55906.6,93
2,55923.7,91
2,57433.8,91
2,54111.8,94
2,48911.2,94
2,49697.5,76
0,46928.5,79
0,46345.6,55
0,46136.7,56
0,45164,55
2,49595.5,38
2,48424.2,78
2,50395.1,78
2,48428,84
2,48792.5,77
2,48855.6,77
2,50982.3,76
2,52311,81
0,54879,81
0,55851.9,68
0,57799.5,73
0,57265.1,70
2,61195.3,74
2,59113.7,78
0,55791.3,76
0,56889.7,71
0,58913.5,71
0,57656,72
0,58088,71
0,58093.4,75
0,57383.8,73
0,54158.3,70
0,54452.5,66
0,52325.4,65
0,51322.3,60
0,55036.1,54
0,55862.9,65
0,55765.2,74
0,57616.2,72
2,58771.3,72
0,58763.7,76
0,58718.3,74
0,58977.3,74
0,57059.9,73
0,58199.9,74
0,58993.4,71
0,57996.3,75
0,55948.7,72
0,58077.4,73
0,58118.7,70
2,59748.4,70
0,59978.7,76
